Operation,Dimension,BlockSize,N_Threads,Time,L1_DCM,L2_DCM,Gflops,Speedup,Efficiency
5,10240,0,6,476.793638,25655162796,42482190305,4.5042,1.344911,0.224152
5,10240,0,7,481.183,21273197411,35916095315,4.4629,1.332643,0.190378
5,10240,0,8,479.845413,18563485989,30693018317,4.476,1.336357,0.167045
6,4096,256,4,9.16732,2287440013,5850069406,14.9947,3.042198,0.760549
6,4096,256,6,7.50282,1716275665,4388504620,18.3441,3.717109,0.619518
6,4096,256,7,7.416227,1716218796,4408274600,18.5369,3.760511,0.537216
6,4096,256,8,6.133837,1144674599,2904577069,22.774,4.546714,0.568339
6,6144,256,4,33.588633,7721737488,19641595657,13.9602,2.698706,0.674676
6,6144,256,6,26.853667,5149856353,13032340570,17.3277,3.375548,0.562591
6,6144,256,7,22.5886,5148509825,13150325314,20.5354,4.012902,0.573272
6,6144,256,8,22.877433,3862310633,9673069584,20.7706,3.962238,0.49528
6,8192,256,4,233.687667,18355031718,39531778103,5.1271,1.587316,0.396829
6,8192,256,6,265.558333,13761223800,26813516617,4.1441,1.396816,0.232803
6,8192,256,7,234.579333,11467467687,21833989922,4.7722,1.581283,0.225898
6,8192,256,8,229.954333,9166253663,15890704902,4.7893,1.613087,0.201636
6,10240,256,4,173.744667,35751010406,90549071091,12.9016,2.423089,0.605772
6,10240,256,6,181.247,25041590219,61286041055,12.2432,2.32279,0.387132
6,10240,256,7,163.626667,21459088505,51526687056,13.1412,2.572922,0.36756
6,10240,256,8,155.970667,17881616170,42090730840,13.7813,2.699217,0.337402
